seq	action	start_submit
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
1	Open;5100.0;14349.0;20.0	0
2	Scenario;7.4:5.7|6.5:4.7|7.4:4.8|6.8:5.3|6.0:5.1|2.8:-6.0|2.2:-5.6|1.1:-6.3|1.5:-5.9|2.1:-6.4|0.1:0.6|-0.7:1.2|1.0:-0.5|-1.4:-1.2|-0.6:0.2|-0.3:-0.4|0.4:-0.8|-0.8:-1.6|0.7:0.3|0.6:1.0|-1.2:-4.0|-2.0:-5.1|-3.8:-3.8|-1.0:-5.6|-1.7:-4.4|-3.2:-3.6|-1.0:-4.8|-1.7:-3.4|-3.1:-4.4|-2.4:-3.7|-6.5:-6.8|-4.5:-6.0|2.0:3.1|6.5:-1.0|6.9:-0.8|	1
2	Open;5800.0;15233.0;26.0	0
2	Scenario;6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|0.4:-0.8|1.0:-0.5|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
2	Open;5000.0;13207.0;19.0	0
2	Open;5000.0;13164.0;19.0	0
2	Open;3600.0;13164.0;13.0	0
2	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|6.5:-1.0|2.0:3.1|-4.5:-6.0|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-7.4:1.4|-6.0:2.0|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
2	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-5.2:1.2|-7.4:1.4|-6.0:2.0|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
2	Open;2500.0;13522.0;8.0	0
2	Open;2500.0;13522.0;8.0	0
2	Scenario;-0.8:6.4|-0.7:7.2|-1.7:5.3|-2.8:6.2|-2.2:7.0|-0.2:5.8|-3.0:5.1|-1.5:6.9|-2.1:6.0|-1.0:5.6|6.9:-0.8|6.5:-1.0|2.0:3.1|-4.5:-6.0|-6.5:-6.8|-7.2:5.5|-5.3:2.4|-6.5:0.4|-6.1:1.3|-6.6:2.4|-6.5:3.4|-4.6:1.9|-5.8:3.0|-5.2:1.2|-7.4:1.4|-6.0:2.0|-2.4:-3.7|-3.1:-4.4|-1.7:-3.4|-1.0:-4.8|-3.2:-3.6|-1.7:-4.4|-1.0:-5.6|-3.8:-3.8|-2.0:-5.1|-1.2:-4.0|0.6:1.0|0.7:0.3|-0.8:-1.6|0.4:-0.8|-0.3:-0.4|-0.6:0.2|-1.4:-1.2|1.0:-0.5|-0.7:1.2|0.1:0.6|2.1:-6.4|1.5:-5.9|1.1:-6.3|2.2:-5.6|2.8:-6.0|6.0:5.1|6.8:5.3|7.4:4.8|6.5:4.7|7.4:5.7|	0
2	Open;1900.0;13880.0;9.0	0
2	Open;1900.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;1900.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;1900.0;13880.0;9.0	0
2	Open;2000.0;12540.0;7.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;12540.0;7.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;2000.0;13210.0;7.0	0
2	Open;2000.0;13880.0;9.0	0
2	Open;3700.0;11707.0;13.0	0
2	Open;3700.0;12377.0;15.0	0
2	Open;3700.0;11707.0;13.0	0
2	Open;3700.0;12377.0;15.0	0
2	Open;3700.0;12377.0;15.0	0
2	Open;3700.0;11707.0;13.0	0
2	Open;3700.0;12377.0;15.0	0
2	Open;3600.0;12377.0;14.0	0
2	Open;4500.0;10874.0;17.0	0
2	Open;4500.0;10874.0;17.0	0
2	Open;6300.0;13531.0;25.0	0
2	Open;4500.0;10874.0;17.0	0
2	Open;6300.0;13531.0;25.0	0
2	Open;3900.0;13531.0;13.0	0
2	Open;6300.0;13531.0;25.0	0
2	Open;3900.0;13531.0;13.0	0
2	Open;6300.0;13531.0;25.0	0
2	Open;6300.0;13531.0;25.0	0
2	Open;4800.0;13531.0;16.0	0
2	Open;6300.0;13531.0;25.0	0
2	Open;4500.0;10874.0;17.0	0
2	Open;5100.0;13531.0;18.0	0
2	Selected;5100.0;13531.0;18.0	0
