seq	action	start_seq
10	"Agent=2000,13880,9_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2Pathr10c5$3470;-4.6,1.9,3;-5.8,3.0,2Pathr10c5$3470;-6.5,0.4,1;-7.4,1.4,1;-6.0,2.0,3"	0
10	"Agent=2000,13880,10_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2Pathr10c5$3470;-6.5,0.4,1;-7.4,1.4,1;-6.0,2.0,3P-athr10c5$3470;-0.8,-1.6,2;-0.3,-0.4,1;0.1,0.6,2Pathr18c5$3942;-0.6,0.2,1;-0.3,-0.4,1;0.6,1.0,1;-0.2,5.8,1;-0.7,7.2,1;-1.7,5.3,2;-4.6,1.9,3;-5.3,2.4,4;-6.0,2.0,3;-6.1,1.3,2;-6.0,2.0,3;-5.3,2.4,4;-4.6,1.9,3Pathr18c65$7763;-5.2,1.2,3;-6.0,2.0,3;-6.6,2.4,4;-6.5,3.4,4;-5.3,2.4,4;-4.6,1.9,3;-0.7,1.2,2;0.1,0.6,2;0.7,0.3,2;1.0,-0.5,2;0.4,-0.8,3;-0.8,-1.6,2;-1.4,-1.2,3Pathr22c60$6804;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;2.0,3.1,3;0.6,1.0,1;0.1,0.6,2;-0.6,0.2,2;-0.7,1.2,2"	0
10	"Agent=5600,14247,25_Pathr24c30$6894;-5.2,1.2,3;-4.6,1.9,3;-5.3,2.4,4;-5.8,3.0,2;-6.5,3.4,4;-6.6,2.4,4;-6.0,2.0,3;-6.1,1.3,2;-7.4,1.4,1;-6.5,0.4,1;-3.8,-3.8,1;-3.2,-3.6,1;-1.7,-4.4,2;-1.2,-4.0,1;-1.7,-3.4,2Pathr24c34$7472;-1.4,-1.2,3;-0.8,-1.6,2;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;2.0,3.1,3;0.6,1.0,1;0.1,0.6,2;-0.6,0.2,2;-0.7,1.2,2"	0
10	"Agent=4900,13680,20_Pathr12c34$4610;-5.2,1.2,3;-6.5,0.4,1;-6.1,1.3,2;-6.0,2.0,3;-5.2,1.2,3Pathr19c29$5102;-3.2,-3.6,1;-3.8,-3.8,1;-3.1,-4.4,3;-2.0,-5.1,3;-1.7,-4.4,2;-1.2,-4.0,1;-1.7,-3.4,2"	0
10	"Agent=7200,13995,30_Pathr10c26$3509;-5.2,1.2,3;-6.5,0.4,1;-6.1,1.3,2;-6.0,2.0,3;-6.6,2.4,4;-5.8,3.0,2;-5.3,2.4,4;-4.6,1.9,3Pathr4c20$3935;-1.4,-1.2,3"	0
10	"Agent=3400,14514,16_Pathr19c65$7763;-5.2,1.2,3;-6.0,2.0,3;-6.6,2.4,4;-6.5,3.4,4;-5.3,2.4,4;-4.6,1.9,3;-0.7,1.2,2;0.1,0.6,2;0.7,0.3,2;1.0,-0.5,2;0.4,-0.8,3;-1.4,-1.2,3Pathr12c46$7436;-1.4,-1.2,3;-0.8,-1.6,2;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;0.6,1.0,1;0.1,0.6,2;-0.3,-0.4,1;-1.7,-3.4,2;-1.7,-4.4,2;-1.0,-4.8,3;-1.0,-5.6,4;-2.0,-5.1,3;-3.1,-4.4,3;-2.4,-3.7,4"	0
10	"Agent=5600,13491,19_Pathr16c50$6523;-5.2,1.2,3;-6.1,1.3,2;-6.5,0.4,1;-7.4,1.4,1;-6.0,2.0,3;-6.6,2.4,4;-6.5,3.4,4;-5.8,3.0,2;-5.3,2.4,4;-4.6,1.9,3Pathr17c5$5026;-0.2,5.8,1;-1.0,5.6,2;-1.7,5.3,2Pathr24c40$8094;-1.4,-1.2,3;-0.8,-1.6,2;0.4,-0.8,3;1.0,-0.5,2;-0.3,-0.4,1;-0.6,0.2,2;0.1,0.6,2;0.7,0.3,2;0.6,1.0,1;-0.7,1.2,2Pathr10c5$3470;-3.2,-3.6,1;-3.1,-4.4,3;-3.8,-3.8,1Pathr24c30$6894;-1.4,-1.2,3;-0.8,-1.6,2;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;0.6,1.0,1;0.1,0.6,2;-0.6,0.2,2;-0.7,1.2,2"	0
10	"Agent=4100,14100,16_Pathr7c21$2126;-5.2,1.2,3;-6.0,2.0,3;-5.3,2.4,4;-3.8,-3.8,3;-3.2,-3.6,1;-3.1,-4.4,3;-2.7,-3.4,2"	0
10	"Agent=4400,3442,21_Pathr22c5$3591;-2.8,6.2,1;-2.1,6.0,2;-1.7,5.3,2Pathr22c5$3519;-5.2,1.2,3;-6.1,1.3,2Pathr10c26$3509;-6.1,1.3,2;-6.5,0.4,1"	0
10	"Agent=2300,10831,11_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2Pathr10c26$3509;-4.6,1.9,3;-5.3,2.4,4;-5.8,3.0,2;-6.5,3.4,4;-6.6,2.4,4;-6.0,2.0,3Pathr19c29$5102;-3.2,-3.6,1;-3.8,-3.8,1;-3.1,-4.4,3;-4.5,-6.0,3;-2.4,-3.7,4;-1.7,-4.4,2;-1.2,-4.0,1;-1.7,-3.4,2;-0.8,-1.6,2Pathr17c5$5040;-3.0,5.1,2;-2.8,6.2,1;-2.1,6.0,2Pathr14c34$5034;-0.2,5.6,2;-1.7,5.3,2;-0.7,1.2,2;0.1,0.6,2;-0.6,0.2,2;-0.3,-0.4,1;-0.8,-1.6,2;-1.4,-1.2,3;-3.1,-4.4,1;-3.2,-3.6,1Pathr4c80$5437"	0
10	"Agent=3700,22616_Pathr4c80$5437Pathr4c30$3434;-1.4,-1.2,3;-0.8,-1.6,2;-0.3,-0.4,1;-0.6,0.2,2Pathr16c51$6294;-2.8,6.2,1;-2.2,7.0,1;-1.5,6.9,1;-0.7,7.2,1;-0.8,6.4,1;-0.2,5.8,1;-1.0,5.6,2;-1.7,5.3,2Pathr17c5$5026;-6.5,0.4,1;-3.0,5.1,2;-2.1,6.0,2Pathr19c5$4284;-1.5,6.9,1;-0.7,7.2,1;-0.8,6.4,1;-1.0,5.6,2Pathr19c5$4284;-0.2,5.8,1;-1.0,5.6,2;-1.7,5.3,2Pathr12c34$4610;-0.6,0.2,2;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;0.1,0.6,2;0.6,1.0,1;2.0,3.1,3;-0.7,1.2,2"	0
11	Start	1
11	"at$t2c41$516;-5.2,1.2,3;-6.1,1.3,2;-6.0,2.0,3;-6.6,2.4,4;-6.5,3.4,4;-5.8,3.0,2;-3.0,5.1,2;-5.3,2.4,4;-4.6,1.9,3Pathr5c15$6826;-1.4,-1.2,3"	0
11	"Agent=500,3470,2_Pathr15c5$3520;-2.8,6.2,1;-2.1,6.0,2;-1.7,5.3,2"	0
11	Submit	0
11	"Manual_r45c5$6426;-0.2,5.8;-1.0,5.6;-1.7,5.3;r17c5$5026;-5.8,3.0;-4.6,1.9;r14c30$2937;-6.5,0.4;-6.1,1.3;-6.0,2.0;-6.6,2.4;-6.5,3.4;-5.8,3.0;-5.3,2.4;-4.6,1.9;-5.2,1.2;r25c20$6298;1.1,-6.3;1.5,-5.9;1.1,-6.3;"	0
11	"Agent=3000,12596,12_Pathr25c20$6298;-6.5,-6.1,1;-1.0,5.6,2;-1.7,5.3,2"	0
11	"Agent=5000,13122,19_Pathr32c18$6582;-6.5,0.4,1;-7.4,1.4,1;-5.8,3.0,2;-3.0,5.1,2;-2.1,6.0,2;-0.7,1.2,2;-0.6,0.2,2Pathr17c5$3786;-2.4,-3.7,4;-1.7,-3.4,2;-0.8,-1.6,2;-1.4,-1.2,3;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;0.6,1.0,1;0.1,0.6,2;-0.6,0.2,2;-0.7,1.2,2"	0
12	"Open=5000.0,11966.0,18.0"	0
13	Start	1
13	"Manual_rA45c5$6552;-1.2,-5.6,4;-2.4,-3.7,4;-3.1,-4.4,3"	0
14	"Open=5000.0,14348.0,21.0"	0
15	"Open=3600.0,12852.0,12.0"	0
16	"Open=2900.0,13880.0,11.0"	0
17	"Open=3300.0,13950.0,16.0"	0
18	"Open=3100.0,12596.0,11.0"	0
19	"Open=3100.0,12596.0,11.0"	0
20	"Open=3100.0,12596.0,11.0"	0
20	"Manual_r25c20$6298;-6.1,1.3;-6.6,2.4;-6.5,3.4;-5.3,2.4;-4.6,1.9;-0.7,1.2;0.1,0.6;-0.6,0.2;r10c26$3509;-1.4,-1.2;-0.8,-1.6;-0.3,-0.4;-0.6,0.2;-0.7,1.2;r11c51$5619;-6.5,3.4;-6.6,2.4;-6.0,2.0;-6.1,1.3;-5.2,1.2;r10c5$3470;-1.4,-1.2;-0.8,-1.6;r10c5$3470;-3.1,-4.4;-3.2,-3.6;-3.1,-4.4;-2.4,-3.7;-1.0,-5.6;-1.0,-4.8;-1.7,-4.4;-1.7,-3.4;-0.8,-1.6;"	0
20	Submit	0
21	"Open=1800.0,13880.0,9.0"	0
22	"Open=2000.0,13994.0,11.0"	0
23	"Open=600.0,14553.0,13.0"	0
23	Submit	0
24	"Open=6100.0,13705.,,17.0"	0
25	"Open=6000.0,14553.0,21.0"	0
26	"Open=6000.0,14352.0,24.0"	0
27	"Open=6100.0,13705.0,23.0"	0
28	"Open=6100.0,13705.0,23.0"	0
29	"Open=6900.0,14247.0,27.0"	0
30	"Open=7200.0,13788.0,30.0"	0
31	Start	1
31	"Manual_r10c5$3470;-1.4,-1.2;-0.8,-1.6;r10c5$3470;r10c5$3470;r24c30$6588;-7.2,5.5;-7.4,1.4;-6.6,2.4;-6.0,2.0;-6.1,1.3;-6.5,0.4;"	0
31	"Agent=2500,3509,8_Pathr10c26$3509;-5.2,1.2,3;-6.5,0.4,1;-6.1,1.3,2;-6.0,2.0,3;-6.6,2.4,4;-5.8,3.0,2;-5.3,2.4,4;-4.6,1.9,3"	0
32	"Open=500.0,3470.0,2.0"	0
33	Start	1
33	"Agent=0,3470,0_Pathr10c5$3470"	0
33	"Agent=0,18200,3_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2Pathr10c5$3470;-4.6,1.9,3;-5.8,3.0,2Pathr10c5$3470;-6.2,1.3,3;-5.8,3.0,2"	0
33	"Agent=1000,6940,4_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2Pathr10c5$3470;-4.6,1.9,3;-5.8,3.0,2Pathr10c5$3470;-6.5,0.4,1;-7.4,1.4,1;-6.0,2.0,3Pathr5c18$4842;-1.4,-1.2,3;-0.8,-1.6,2"	0
33	"Agent=1500,2914,0_Pathr10c5$3470;-0.3,-0.4,1;-0.8,-1.6,2;-1.4,-1.2,3Pathr10c5$3470;-0.6,0.2,2;0.1,0.6,2;-0.3,-0.4,1"	0
33	"Agent=2000,13880,9_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2Pathr10c5$3470;-4.6,1.9,3;-5.8,3.0,2Pathr10c5$3470;-6.5,0.4,1;-7.4,1.4,1;-6.0,2.0,3"	0
33	Submit	0
34	"Open=2000.0,13880.0,9.0"	0
35	"Open=2900.0,13889.0,11.0"	0
35	"Agent=300,6959,7_Pathr17c31$5241;-5.2,1.2,3;-6.1,1.3,2;-6.0,2.0,3;-5.8,3.0,2;-5.3,2.4,4;-4.6,1.9,3Pathr17c5$5040;-3.0,5.1,2;-2.1,6.0,2;-2.8,6.2,1;-3.0,5.1,2"	0
35	"Agent=1000,14703_Pathr10c5$3470;-1.4,-1.2,3;-0.8,-1.6,2Pathr18c60$7361;-0.6,0.2,2;-0.3,-0.4,1;0.4,-0.8,3;1.0,-0.5,2;0.7,0.3,2;0.1,0.6,2;0.6,1.0,1;2.0,3.1,3;-0.7,1.2,2"	0
36	"Open=10200.0,45385.0,41.0"	0
37	"Open=3600.0,12852.0,12.0"	0
38	"Open=2900.0,13880.0,12.0"	0
38	"Agent=1100,14218,38_Pathr27c45$6470;-6.6,2.4,3;-6.0,2.0,3;-5.2,1.2,3"	0
38	"Agent=1600,7263,13_Pathr20c29$5243;-1.7,5.3,2;-3.0,5.1,2;-5.3,2.4,4;-5.8,3.0,2;-6.5,3.4,4;-6.6,2.4,4;-7.4,1.4,1;-6.5,0.4,1;-6.1,1.3,2;-6.0,2.0,3;-5.3,2.4,4Pathr29c20$6945;-3.2,-3.6,1;-3.8,-3.8,1;-3.1,-4.4,3;-4.5,-6.0,3;-2.0,-5.1,3;-1.0,-5.6,4;-1.0,-4.8,3;-1.7,-4.4,2;-1.2,-4.0,1;-1.7,-3.4,2;-2.4,-3.7,4"	0
39	Start	1
39	"Agent=500,3470,2_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2"	0
39	Submit	0
40	"Open=400.0,3470.0,1.0"	0
41	"Open=500.0,3470.0,2.0"	0
42	"Open=500.0,3470.0,2.0"	0
42	"Agent=500,3470,2_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2"	0
42	"Agent=500,3470,2_Pathr10c5$3470;-5.2,1.2,3;-6.1,1.3,2"	0
42	Submit	0
42	"Manual_r5c65$591M5.Agenual_r45c5$6582;-3.0,5.1;-1.7,5.3;"	0
