session305
Time,User,Action,Type
2020-04-08 20:27:22.943354+00:00,cmu_exp,Please wait a moment for the rest of the participants to read through tutorials. Thanks for your patience!,chat: Operations Specialist 2 @38_38___305
2020-04-08 20:28:09.527966+00:00,cmu_exp,Two more minutes for problem brief and tutorials,chat: Session @40___305
2020-04-08 20:29:41.004408+00:00,cmu_02,problem brief and tutorials completed,chat: Help @38_34___305
2020-04-08 20:30:11.413052+00:00,cmu_exp,"Please make sure that you did not close the three new tabs for Problem Brief and Tutorials. Our study has two 20 minutes sessions. We will begin the first 20 min session of our study. Your web page will refresh automatically within 10 seconds. If not, you can refresh your browser manually. If you have any other issues, please talk with me through this Help channel. If you cannot send message through Help channel, please refresh your browser manually and try it again.",chat: Session @40___305
2020-04-08 20:30:22.967746+00:00,cmu_04,planner;StartSession,client
2020-04-08 20:30:23.456546+00:00,cmu_04,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:30:23.571215+00:00,cmu_04,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:30:24.370207+00:00,cmu_02,designer;StartSession,client
2020-04-08 20:30:25.470947+00:00,cmu_06,planner;StartSession,client
2020-04-08 20:30:27.309910+00:00,cmu_06,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:30:37.616723+00:00,cmu_exp,There is a refresh button on the top of your screen (next to Team Designs or Team Plans). You need to click that refresh button frequently to see your teammateâs design/plan.,chat: Session @40___305
2020-04-08 20:30:38.006995+00:00,cmu_01,business;StartSession,client
2020-04-08 20:30:38.691404+00:00,cmu_04,planner;StartSession,client
2020-04-08 20:30:39.374355+00:00,cmu_04,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:30:39.482681+00:00,cmu_04,planner;ScenarioLoaded:Scenario:249,client
2020-04-08 20:30:39.713959+00:00,cmu_01,business;ScenarioLoaded:Scenario:249,client
2020-04-08 20:30:45.096407+00:00,cmu_01,business;SelectNode;105;False,client
2020-04-08 20:30:50.818665+00:00,cmu_01,business;SelectNode;110;False,client
2020-04-08 20:30:51.797012+00:00,cmu_01,business;SelectNode;104;False,client
2020-04-08 20:30:53.638218+00:00,cmu_01,business;SelectNode;109;False,client
2020-04-08 20:33:54.493012+00:00,cmu_04,planner;StartSession,client
2020-04-08 20:30:54.898491+00:00,cmu_01,business;SelectNode;111;False,client
2020-04-08 20:30:55.352680+00:00,cmu_01,business;SelectNode;112;False,client
2020-04-08 20:30:55.818416+00:00,cmu_01,business;SelectNode;103;False,client
2020-04-08 20:30:56.539708+00:00,cmu_01,business;SelectNode;107;False,client
2020-04-08 20:30:56.615545+00:00,cmu_02,designer;LoadVehicles,client
2020-04-08 20:31:00.138512+00:00,cmu_01,business;SelectNode;108;False,client
2020-04-08 20:31:00.660329+00:00,cmu_01,business;SelectNode;106;False,client
2020-04-08 20:31:01.449184+00:00,cmu_01,business;SelectNode;97;False,client
2020-04-08 20:31:01.702861+00:00,cmu_01,business;SelectNode;93;False,client
