seq	config	result	range	capacity	cost	velocity	start	type	start_seq	start_submit
9	"*aMM0++++++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+*lMP1+++*mPM1+++*nJM2+++*oMJ1+++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc^fl^im^gn^ho^jb,99,3"	Success	12.73882	99	9523.724	14.76067	0	Evaluate	0	0
9	"*aMM0++++++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+*lMP1+++*mPM1+++*nJM2+++*oMJ1+++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc^fl^im^gn^ho^jb,99,3"	Submit	12.73882	99	9523.724	14.76067	0	Submit	0	0
9	"*aMM0++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++*lNN1*mLL2^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb^ck^bl^cl^dm^em,44,3"	Success	21.2935	44	7739.602	23.67803	0	Evaluate	0	0
9	"*aMM0+++++*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,30,3"	Success	24.99603	30	6688.951	23.02184	0	Evaluate	0	0
9	"*aMM0+++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Success	25.29189	45	8155.23	18.65045	0	Evaluate	0	0
9	"*aMM0++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Success	23.55787	45	7361.352	23.38191	0	Evaluate	0	0
9	"*aMM0+++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Success	25.29189	45	8155.23	18.65045	0	Evaluate	0	0
9	"*aMM0++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Success	24.8054	45	7872.578	20.19351	0	Evaluate	0	0
9	"*aMM0++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Submit	24.8054	45	7872.578	20.19351	0	Submit	0	0
10	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"	Open	9.999299	5	3470.2	20.00051	1	Open	0	0
10	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM2+*gMK1+*hMO1+*iKM2+^ab^ac^ad^ae^bf^eg^ch^di,5,3"	Success	8.32885	5	3888.95	19.94322	0	Evaluate	0	0
11	"*aMM0+++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Open	19.63877	45	6736.396	25.0807	1	Open	0	0
11	"*aMM0++++*bNM1++*cMN2++*dLM1++*eML2++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,70,3"	Success	15.20005	70	7361.352	21.56893	0	Evaluate	0	0
11	"*aMM0+++++*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,37,3"	Success	25.21269	37	7830.404	22.47133	0	Evaluate	0	0
11	"*aMM0++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Success	24.8054	45	7872.578	20.19351	0	Evaluate	0	0
11	"*aMM0++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Success	24.8054	45	7872.578	20.19351	0	Evaluate	0	0
11	"*aMM0+++++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0++*kLN0++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3"	Success	25.29189	45	8155.23	18.65045	0	Evaluate	0	0
12	"*aMM0++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++^ab^ac^ad^ae,5,3"	Success	10.79475	5	4030.374	19.63813	1	Evaluate	1	1
12	"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNL0*gLN0^ab^ac^ad^ae^bf^dg,25,3"	Success	26.1338	25	6565.951	23.6468	0	Evaluate	0	1
12	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL0*gLN0^ab^ac^ad^ae^bf^dg,28,3"	HitBoundary	6.29371	28	6945.701	32.88869	0	Evaluate	0	1
12	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL--*gLN3--^ab^ac^ad^ae^bf^dg,5,3"	CouldNotStabilize	-0.7400686	5	5617.162	51.95064	0	Evaluate	0	1
12	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL3*gLN3^ab^ac^ad^ae^bf^dg,5,3"	Success	15.01266	5	4305.902	11.10796	0	Evaluate	0	1
12	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL3*gLN3*hNN0+++*iLL0+++^ab^ac^ad^ae^bf^dg^bh^ch^cg^ef^di^ie,5,3"	HitBoundary	1.242128	5	8292.621	18.54897	0	Evaluate	0	1
12	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL3++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++*gLN3++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++*hNN0+++*iLL0+++^ab^ac^ad^ae^bf^dg^bh^ch^cg^ef^di^ie,5,3"	CouldNotStabilize	-0.3458177	5	10005.67	1.119084	0	Evaluate	0	1
12	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL3++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++*gLN3+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++*hNN0+++*iLL0+++^ab^ac^ad^ae^bf^dg^bh^ch^cg^ef^di^ie,5,3"	CouldNotStabilize	-0.3254181	5	9891.135	3.204895	0	Evaluate	0	1
12	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL2++++++++++++++++++++++++++++++++++++++++++++++++++*gLNL3++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++*hNN0+++*iLL0+++^ab^ac^ad^ae^bf^dg^bh^ch^cg^ef^di^ie,55,3"	CouldNotStabilize	-0.326476	55	78472.96	1.324832	0	Evaluate	0	1
12	"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++*lNN3*mLL3^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb^bl^dm^em^cl,80,3"	HitBoundary	1.318316	80	9501.092	37.77979	0	Evaluate	0	1
12	"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++*lNN1*mLL1^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^bl^dm^fc^gb^em^cl,80,3"	Success	17.06666	80	9496.891	13.72422	0	Evaluate	0	1
12	"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++*lNN0*mLL0^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^bl^dm^fc^gb^em^cl,80,3"	CouldNotStabilize	-0.01220472	80	12140.89	18.98966	0	Evaluate	0	1
12	"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++*lNN2*mLL1^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb^bl^dm^em^cl,99,3"	HitBoundary	4.193788	99	9496.891	20.81347	0	Evaluate	0	1
